1	1	30000.00	0.0592	3001	lyqtob	iickbrwbtwzcdv	chfbxzebpalai	ppcxpbcdo	AZ	123456789
1	2	30000.00	0.1819	3001	ztswx	bhrvoimjxdk	bfwjyzejooiktizcq	honaimqiv	RX	123456789
1	3	30000.00	0.0377	3001	jgxjsb	bofuafqpcyvvtzue	aabscyuismydzz	wktfdcrdkdnjq	SA	123456789
1	4	30000.00	0.0525	3001	czbtgmb	crajcudxb	mghrtiqleqboacrhp	czrfwbnfi	XU	123456789
1	5	30000.00	0.1002	3001	scyas	wamivkeczozpu	ylyjuzfkgvidywioscn	keueabajburxjkka	YX	123456789
1	6	30000.00	0.0690	3001	cuuxz	fzxcjqyzxsbsdnm	kgetnbbfccigotr	lhgshytpzduljlb	PN	123456789
1	7	30000.00	0.1644	3001	bmfjw	sdgihtqzlbbflamjfs	cmpjzhkictujnj	vzhnxgdkrjiohxce	JH	123456789
1	8	30000.00	0.0626	3001	hkbkgrz	boifkqbamqacwtwfhe	zbsuiohnlnl	ljwwyflqnsijgobtd	ZK	123456789
1	9	30000.00	0.1244	3001	azoqpzt	vlzxiadcbtyn	ouhgkqqgcauceiwo	uhiqyfjjrkoa	NZ	123456789
1	10	30000.00	0.1731	3001	ohrbyuqiz	gfxlcdkkkwggavvdh	toaazglbdjn	lgigyusvebexstatpso	HH	123456789
2	1	30000.00	0.1768	3001	dbfqthvyv	clkfldpaxadvc	xjjlywhxr	gfcdwsxygcxijeqm	UX	123456789
2	2	30000.00	0.0865	3001	tuuwd	riahakagfau	xtmwcyktdh	hsgkcuupjyfpmix	KT	123456789
2	3	30000.00	0.1201	3001	tabrdol	xzievmblgmoufke	wpmiienweajka	uycpggntthr	NG	123456789
2	4	30000.00	0.0563	3001	qcjdlgq	jirzrdogjmvptat	krtbjkocpyruvjy	zcqomcqivtniip	OT	123456789
2	5	30000.00	0.0473	3001	cqbejk	vwfqwrujaxhqkicy	ipngztrtan	udqlnjvbt	UT	123456789
2	6	30000.00	0.1305	3001	wxcmzb	wwvwjygdnedqnncax	vaqnjxradbbinmt	xsafbqldybmoeaappt	MG	123456789
2	7	30000.00	0.1202	3001	jiuhmlp	qpxqliqqahl	ssicrckcmsdxhnzervf	njirskhnakcjgh	CT	123456789
2	8	30000.00	0.0632	3001	upqzavu	hdlekyhfmuz	soibllspax	mcsrtaiwdgoa	EM	123456789
2	9	30000.00	0.0264	3001	oassgtor	igzuhjbqwzqky	ezibkraqmsfaotl	jzrnrqodirlrddzmnlx	SW	123456789
2	10	30000.00	0.1796	3001	tynkyf	auiohaukywzjhftbwru	exmvycvfol	lapbwiduwffqbhkfgd	HT	123456789
